attribute,value,reactorName
Thermal Capacity,3200 MWt,KURSK-1
Design Net Capacity,925 MWe,KURSK-1
Total GWh,232133.66,KURSK-1
Reactor Type,Pressurised Water Reactor (or PWR),KURSK%202-2
Model,VVER V-510,KURSK%202-2
Owner,Joint Stock Company 'Concern Rosenergoatom',KURSK%202-2
Operator,Joint Stock Company 'Concern Rosenergoatom',KURSK%202-2
Construction Start,"Wednesday, 1 May 2019",KURSK%202-2
Capacity Net,1200 MWe,KURSK%202-2
Capacity Gross,1255 MWe,KURSK%202-2
Thermal Capacity,3300 MWt,KURSK%202-2
Design Net Capacity,1200 MWe,KURSK%202-2
Total GWh,0,KURSK%202-2
Reactor Type,Light Water Graphite Reactor (or LWGR),KURSK-2
Model,RBMK-1000,KURSK-2
Owner,Joint Stock Company 'Concern Rosenergoatom',KURSK-2
Operator,Joint Stock Company 'Concern Rosenergoatom',KURSK-2
Construction Start,"Monday, 1 January 1973",KURSK-2
First Criticality,"Saturday, 16 December 1978",KURSK-2
First Grid Connection,"Sunday, 28 January 1979",KURSK-2
Commercial Operation,"Friday, 17 August 1979",KURSK-2
Permanent Shutdown,"Wednesday, 31 January 2024",KURSK-2
Capacity Net,925 MWe,KURSK-2
Capacity Gross,1000 MWe,KURSK-2
Thermal Capacity,3200 MWt,KURSK-2
Design Net Capacity,925 MWe,KURSK-2
Total GWh,236518.98,KURSK-2
Reactor Type,Light Water Graphite Reactor (or LWGR),KURSK-3
Model,RBMK-1000,KURSK-3
Owner,Joint Stock Company 'Concern Rosenergoatom',KURSK-3
Operator,Joint Stock Company 'Concern Rosenergoatom',KURSK-3
Construction Start,"Saturday, 1 April 1978",KURSK-3
First Criticality,"Tuesday, 9 August 1983",KURSK-3
First Grid Connection,"Monday, 17 October 1983",KURSK-3
Commercial Operation,"Friday, 30 March 1984",KURSK-3
Capacity Net,925 MWe,KURSK-3
Capacity Gross,1000 MWe,KURSK-3
Thermal Capacity,3200 MWt,KURSK-3
Design Net Capacity,925 MWe,KURSK-3
Total GWh,241159.14,KURSK-3
Reactor Type,Light Water Graphite Reactor (or LWGR),KURSK-4
Model,RBMK-1000,KURSK-4
Owner,Joint Stock Company 'Concern Rosenergoatom',KURSK-4
Operator,Joint Stock Company 'Concern Rosenergoatom',KURSK-4
Construction Start,"Friday, 1 May 1981",KURSK-4
First Criticality,"Thursday, 31 October 1985",KURSK-4
First Grid Connection,"Monday, 2 December 1985",KURSK-4
Commercial Operation,"Wednesday, 5 February 1986",KURSK-4
Capacity Net,925 MWe,KURSK-4
Capacity Gross,1000 MWe,KURSK-4
Thermal Capacity,3200 MWt,KURSK-4
Design Net Capacity,925 MWe,KURSK-4
Total GWh,241336.81,KURSK-4
Reactor Type,Light Water Graphite Reactor (or LWGR),LENINGRAD-1
Model,RBMK-1000,LENINGRAD-1
Owner,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD-1
Operator,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD-1
Construction Start,"Sunday, 1 March 1970",LENINGRAD-1
First Criticality,"Wednesday, 12 September 1973",LENINGRAD-1
First Grid Connection,"Friday, 21 December 1973",LENINGRAD-1
Commercial Operation,"Friday, 1 November 1974",LENINGRAD-1
Permanent Shutdown,"Saturday, 22 December 2018",LENINGRAD-1
Capacity Net,925 MWe,LENINGRAD-1
Capacity Gross,1000 MWe,LENINGRAD-1
Thermal Capacity,3200 MWt,LENINGRAD-1
Design Net Capacity,925 MWe,LENINGRAD-1
Total GWh,244522.51,LENINGRAD-1
Reactor Type,Light Water Graphite Reactor (or LWGR),LENINGRAD-2
Model,RBMK-1000,LENINGRAD-2
Owner,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD-2
Operator,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD-2
Construction Start,"Monday, 1 June 1970",LENINGRAD-2
First Criticality,"Tuesday, 6 May 1975",LENINGRAD-2
First Grid Connection,"Friday, 11 July 1975",LENINGRAD-2
Commercial Operation,"Wednesday, 11 February 1976",LENINGRAD-2
Permanent Shutdown,"Tuesday, 10 November 2020",LENINGRAD-2
Capacity Net,925 MWe,LENINGRAD-2
Capacity Gross,1000 MWe,LENINGRAD-2
Thermal Capacity,3200 MWt,LENINGRAD-2
Design Net Capacity,925 MWe,LENINGRAD-2
Total GWh,256311.88,LENINGRAD-2
Reactor Type,Pressurised Water Reactor (or PWR),LENINGRAD%202-1
Model,VVER V-491,LENINGRAD%202-1
Owner,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD%202-1
Operator,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD%202-1
Construction Start,"Saturday, 25 October 2008",LENINGRAD%202-1
First Criticality,"Tuesday, 6 February 2018",LENINGRAD%202-1
First Grid Connection,"Friday, 9 March 2018",LENINGRAD%202-1
Commercial Operation,"Monday, 29 October 2018",LENINGRAD%202-1
Capacity Net,1101 MWe,LENINGRAD%202-1
Capacity Gross,1188 MWe,LENINGRAD%202-1
Thermal Capacity,3200 MWt,LENINGRAD%202-1
Design Net Capacity,1066 MWe,LENINGRAD%202-1
Total GWh,38016.72,LENINGRAD%202-1
Reactor Type,Pressurised Water Reactor (or PWR),LENINGRAD%202-2
Model,VVER V-491,LENINGRAD%202-2
Owner,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD%202-2
Operator,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD%202-2
Construction Start,"Thursday, 15 April 2010",LENINGRAD%202-2
First Criticality,"Saturday, 29 August 2020",LENINGRAD%202-2
First Grid Connection,"Thursday, 22 October 2020",LENINGRAD%202-2
Commercial Operation,"Monday, 22 March 2021",LENINGRAD%202-2
Capacity Net,1101 MWe,LENINGRAD%202-2
Capacity Gross,1188 MWe,LENINGRAD%202-2
Thermal Capacity,3200 MWt,LENINGRAD%202-2
Design Net Capacity,1066 MWe,LENINGRAD%202-2
Total GWh,25087.26,LENINGRAD%202-2
Reactor Type,Pressurised Water Reactor (or PWR),LENINGRAD%202-3
Model,VVER V-491,LENINGRAD%202-3
Owner,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD%202-3
Operator,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD%202-3
Construction Start,"Thursday, 14 March 2024",LENINGRAD%202-3
Capacity Net,1101 MWe,LENINGRAD%202-3
Capacity Gross,1188 MWe,LENINGRAD%202-3
Thermal Capacity,3200 MWt,LENINGRAD%202-3
Design Net Capacity,1066 MWe,LENINGRAD%202-3
Total GWh,0,LENINGRAD%202-3
Reactor Type,Light Water Graphite Reactor (or LWGR),LENINGRAD-3
Model,RBMK-1000,LENINGRAD-3
Owner,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD-3
Operator,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD-3
Construction Start,"Saturday, 1 December 1973",LENINGRAD-3
First Criticality,"Monday, 17 September 1979",LENINGRAD-3
First Grid Connection,"Friday, 7 December 1979",LENINGRAD-3
Commercial Operation,"Sunday, 29 June 1980",LENINGRAD-3
Capacity Net,925 MWe,LENINGRAD-3
Capacity Gross,1000 MWe,LENINGRAD-3
Thermal Capacity,3200 MWt,LENINGRAD-3
Design Net Capacity,925 MWe,LENINGRAD-3
Total GWh,259456.07,LENINGRAD-3
Reactor Type,Light Water Graphite Reactor (or LWGR),LENINGRAD-4
Model,RBMK-1000,LENINGRAD-4
Owner,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD-4
Operator,Joint Stock Company 'Concern Rosenergoatom',LENINGRAD-4
Construction Start,"Saturday, 1 February 1975",LENINGRAD-4
First Criticality,"Monday, 29 December 1980",LENINGRAD-4
First Grid Connection,"Monday, 9 February 1981",LENINGRAD-4
Commercial Operation,"Saturday, 29 August 1981",LENINGRAD-4
Capacity Net,925 MWe,LENINGRAD-4
Capacity Gross,1000 MWe,LENINGRAD-4
Thermal Capacity,3200 MWt,LENINGRAD-4
Design Net Capacity,925 MWe,LENINGRAD-4
Total GWh,257227.5,LENINGRAD-4
Reactor Type,Pressurised Water Reactor (or PWR),NOVOVORONEZH-4
Model,VVER V-179,NOVOVORONEZH-4
Owner,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH-4
Operator,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH-4
Construction Start,"Saturday, 1 July 1967",NOVOVORONEZH-4
First Criticality,"Monday, 25 December 1972",NOVOVORONEZH-4
First Grid Connection,"Thursday, 28 December 1972",NOVOVORONEZH-4
Commercial Operation,"Saturday, 24 March 1973",NOVOVORONEZH-4
Capacity Net,385 MWe,NOVOVORONEZH-4
Capacity Gross,417 MWe,NOVOVORONEZH-4
Thermal Capacity,1375 MWt,NOVOVORONEZH-4
Design Net Capacity,385 MWe,NOVOVORONEZH-4
Total GWh,134330.72,NOVOVORONEZH-4
Reactor Type,Pressurised Water Reactor (or PWR),NOVOVORONEZH-5
Model,VVER V-187,NOVOVORONEZH-5
Owner,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH-5
Operator,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH-5
Construction Start,"Friday, 1 March 1974",NOVOVORONEZH-5
First Criticality,"Wednesday, 30 April 1980",NOVOVORONEZH-5
First Grid Connection,"Saturday, 31 May 1980",NOVOVORONEZH-5
Commercial Operation,"Friday, 20 February 1981",NOVOVORONEZH-5
Capacity Net,950 MWe,NOVOVORONEZH-5
Capacity Gross,1000 MWe,NOVOVORONEZH-5
Thermal Capacity,3000 MWt,NOVOVORONEZH-5
Design Net Capacity,950 MWe,NOVOVORONEZH-5
Total GWh,243072.01,NOVOVORONEZH-5
Reactor Type,Pressurised Water Reactor (or PWR),NOVOVORONEZH-1
Model,VVER V-120,NOVOVORONEZH-1
Owner,Ministry Of Medium Machine Building Of The Ussr (Minsredmash),NOVOVORONEZH-1
Operator,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH-1
Construction Start,"Monday, 1 July 1957",NOVOVORONEZH-1
First Criticality,"Tuesday, 17 December 1963",NOVOVORONEZH-1
First Grid Connection,"Wednesday, 30 September 1964",NOVOVORONEZH-1
Commercial Operation,"Thursday, 31 December 1964",NOVOVORONEZH-1
Permanent Shutdown,"Tuesday, 16 February 1988",NOVOVORONEZH-1
Capacity Net,197 MWe,NOVOVORONEZH-1
Capacity Gross,210 MWe,NOVOVORONEZH-1
Thermal Capacity,760 MWt,NOVOVORONEZH-1
Design Net Capacity,197 MWe,NOVOVORONEZH-1
Total GWh,0,NOVOVORONEZH-1
Reactor Type,Pressurised Water Reactor (or PWR),NOVOVORONEZH-2
Model,VVER V-120,NOVOVORONEZH-2
Owner,Ministry Of Medium Machine Building Of The Ussr (Minsredmash),NOVOVORONEZH-2
Operator,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH-2
Construction Start,"Monday, 1 June 1964",NOVOVORONEZH-2
First Criticality,"Tuesday, 23 December 1969",NOVOVORONEZH-2
First Grid Connection,"Saturday, 27 December 1969",NOVOVORONEZH-2
Commercial Operation,"Tuesday, 14 April 1970",NOVOVORONEZH-2
Permanent Shutdown,"Wednesday, 29 August 1990",NOVOVORONEZH-2
Capacity Net,336 MWe,NOVOVORONEZH-2
Capacity Gross,365 MWe,NOVOVORONEZH-2
Thermal Capacity,1320 MWt,NOVOVORONEZH-2
Design Net Capacity,336 MWe,NOVOVORONEZH-2
Total GWh,6745.45,NOVOVORONEZH-2
Reactor Type,Pressurised Water Reactor (or PWR),NOVOVORONEZH-3
Model,VVER V-179,NOVOVORONEZH-3
Owner,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH-3
Operator,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH-3
Construction Start,"Saturday, 1 July 1967",NOVOVORONEZH-3
First Criticality,"Wednesday, 22 December 1971",NOVOVORONEZH-3
First Grid Connection,"Monday, 27 December 1971",NOVOVORONEZH-3
Commercial Operation,"Thursday, 29 June 1972",NOVOVORONEZH-3
Permanent Shutdown,"Sunday, 25 December 2016",NOVOVORONEZH-3
Capacity Net,385 MWe,NOVOVORONEZH-3
Capacity Gross,417 MWe,NOVOVORONEZH-3
Thermal Capacity,1375 MWt,NOVOVORONEZH-3
Design Net Capacity,385 MWe,NOVOVORONEZH-3
Total GWh,108979.2,NOVOVORONEZH-3
Reactor Type,Pressurised Water Reactor (or PWR),NOVOVORONEZH%202-1
Model,VVER V-392M,NOVOVORONEZH%202-1
Owner,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH%202-1
Operator,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH%202-1
Construction Start,"Tuesday, 24 June 2008",NOVOVORONEZH%202-1
First Criticality,"Friday, 20 May 2016",NOVOVORONEZH%202-1
First Grid Connection,"Friday, 5 August 2016",NOVOVORONEZH%202-1
Commercial Operation,"Monday, 27 February 2017",NOVOVORONEZH%202-1
Capacity Net,1100 MWe,NOVOVORONEZH%202-1
Capacity Gross,1180 MWe,NOVOVORONEZH%202-1
Thermal Capacity,3200 MWt,NOVOVORONEZH%202-1
Design Net Capacity,1114 MWe,NOVOVORONEZH%202-1
Total GWh,51061.06,NOVOVORONEZH%202-1
Reactor Type,Pressurised Water Reactor (or PWR),NOVOVORONEZH%202-2
Model,VVER V-392M,NOVOVORONEZH%202-2
Owner,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH%202-2
Operator,Joint Stock Company 'Concern Rosenergoatom',NOVOVORONEZH%202-2
Construction Start,"Sunday, 12 July 2009",NOVOVORONEZH%202-2
First Criticality,"Friday, 22 March 2019",NOVOVORONEZH%202-2
First Grid Connection,"Wednesday, 1 May 2019",NOVOVORONEZH%202-2
Commercial Operation,"Thursday, 31 October 2019",NOVOVORONEZH%202-2
Capacity Net,1101 MWe,NOVOVORONEZH%202-2
Capacity Gross,1181 MWe,NOVOVORONEZH%202-2
Thermal Capacity,3200 MWt,NOVOVORONEZH%202-2
Design Net Capacity,1114 MWe,NOVOVORONEZH%202-2
Total GWh,34760.46,NOVOVORONEZH%202-2
Reactor Type,Pressurised Water Reactor (or PWR),AKADEMIK%20LOMONOSOV-1
Model,KLT-40S 'Floating',AKADEMIK%20LOMONOSOV-1
Owner,Joint Stock Company 'Concern Rosenergoatom',AKADEMIK%20LOMONOSOV-1
Operator,Joint Stock Company 'Concern Rosenergoatom',AKADEMIK%20LOMONOSOV-1
Construction Start,"Sunday, 15 April 2007",AKADEMIK%20LOMONOSOV-1
First Criticality,"Friday, 2 November 2018",AKADEMIK%20LOMONOSOV-1
First Grid Connection,"Thursday, 19 December 2019",AKADEMIK%20LOMONOSOV-1
Commercial Operation,"Friday, 22 May 2020",AKADEMIK%20LOMONOSOV-1
Capacity Net,32 MWe,AKADEMIK%20LOMONOSOV-1
Capacity Gross,35 MWe,AKADEMIK%20LOMONOSOV-1
Thermal Capacity,150 MWt,AKADEMIK%20LOMONOSOV-1
Design Net Capacity,30 MWe,AKADEMIK%20LOMONOSOV-1
Total GWh,339.63,AKADEMIK%20LOMONOSOV-1
Reactor Type,Pressurised Water Reactor (or PWR),AKADEMIK%20LOMONOSOV-2
Model,KLT-40S 'Floating',AKADEMIK%20LOMONOSOV-2
Owner,Joint Stock Company 'Concern Rosenergoatom',AKADEMIK%20LOMONOSOV-2
Operator,Joint Stock Company 'Concern Rosenergoatom',AKADEMIK%20LOMONOSOV-2
Construction Start,"Sunday, 15 April 2007",AKADEMIK%20LOMONOSOV-2
First Criticality,"Thursday, 8 November 2018",AKADEMIK%20LOMONOSOV-2
First Grid Connection,"Thursday, 19 December 2019",AKADEMIK%20LOMONOSOV-2
Commercial Operation,"Friday, 22 May 2020",AKADEMIK%20LOMONOSOV-2
Capacity Net,32 MWe,AKADEMIK%20LOMONOSOV-2
Capacity Gross,35 MWe,AKADEMIK%20LOMONOSOV-2
Thermal Capacity,150 MWt,AKADEMIK%20LOMONOSOV-2
Design Net Capacity,30 MWe,AKADEMIK%20LOMONOSOV-2
Total GWh,310.94,AKADEMIK%20LOMONOSOV-2
Reactor Type,Fast Reactor (or FBR),BREST-OD-300
Model,BREST-OD-300�,BREST-OD-300
Owner,,BREST-OD-300
Operator,,BREST-OD-300
Construction Start,"Tuesday, 8 June 2021",BREST-OD-300
Capacity Net,300 MWe,BREST-OD-300
Capacity Gross,300 MWe,BREST-OD-300
Thermal Capacity,700 MWt,BREST-OD-300
Design Net Capacity,300 MWe,BREST-OD-300
Total GWh,0,BREST-OD-300
Reactor Type,Light Water Graphite Reactor (or LWGR),SMOLENSK-1
Model,RBMK-1000,SMOLENSK-1
Owner,Joint Stock Company 'Concern Rosenergoatom',SMOLENSK-1
Operator,Joint Stock Company 'Concern Rosenergoatom',SMOLENSK-1
Construction Start,"Wednesday, 1 October 1975",SMOLENSK-1
First Criticality,"Friday, 10 September 1982",SMOLENSK-1
First Grid Connection,"Thursday, 9 December 1982",SMOLENSK-1
Commercial Operation,"Friday, 30 September 1983",SMOLENSK-1
Capacity Net,925 MWe,SMOLENSK-1
Capacity Gross,1000 MWe,SMOLENSK-1
Thermal Capacity,3200 MWt,SMOLENSK-1
Design Net Capacity,925 MWe,SMOLENSK-1
Total GWh,247749.5,SMOLENSK-1
Reactor Type,Light Water Graphite Reactor (or LWGR),SMOLENSK-2
Model,RBMK-1000,SMOLENSK-2
Owner,Joint Stock Company 'Concern Rosenergoatom',SMOLENSK-2
Operator,Joint Stock Company 'Concern Rosenergoatom',SMOLENSK-2
Construction Start,"Tuesday, 1 June 1976",SMOLENSK-2
First Criticality,"Tuesday, 9 April 1985",SMOLENSK-2
First Grid Connection,"Friday, 31 May 1985",SMOLENSK-2
Commercial Operation,"Tuesday, 2 July 1985",SMOLENSK-2
Capacity Net,925 MWe,SMOLENSK-2
Capacity Gross,1000 MWe,SMOLENSK-2
Thermal Capacity,3200 MWt,SMOLENSK-2
Design Net Capacity,925 MWe,SMOLENSK-2
Total GWh,241027.85,SMOLENSK-2
Reactor Type,Light Water Graphite Reactor (or LWGR),SMOLENSK-3
Model,RBMK-1000,SMOLENSK-3
Owner,Joint Stock Company 'Concern Rosenergoatom',SMOLENSK-3
Operator,Joint Stock Company 'Concern Rosenergoatom',SMOLENSK-3
Construction Start,"Tuesday, 1 May 1984",SMOLENSK-3
First Criticality,"Friday, 29 December 1989",SMOLENSK-3
First Grid Connection,"Wednesday, 17 January 1990",SMOLENSK-3
Commercial Operation,"Friday, 12 October 1990",SMOLENSK-3
Capacity Net,925 MWe,SMOLENSK-3
Capacity Gross,1000 MWe,SMOLENSK-3
Thermal Capacity,3200 MWt,SMOLENSK-3
Design Net Capacity,925 MWe,SMOLENSK-3
Total GWh,219654.99,SMOLENSK-3
Reactor Type,Pressurised Water Reactor (or PWR),ROSTOV-1
Model,VVER V-320,ROSTOV-1
Owner,Joint Stock Company 'Concern Rosenergoatom',ROSTOV-1
Operator,Joint Stock Company 'Concern Rosenergoatom',ROSTOV-1
Construction Start,"Tuesday, 1 September 1981",ROSTOV-1
First Criticality,"Friday, 23 February 2001",ROSTOV-1
First Grid Connection,"Friday, 30 March 2001",ROSTOV-1
Commercial Operation,"Tuesday, 25 December 2001",ROSTOV-1
Capacity Net,989 MWe,ROSTOV-1
Capacity Gross,1041 MWe,ROSTOV-1
Thermal Capacity,3200 MWt,ROSTOV-1
Design Net Capacity,950 MWe,ROSTOV-1
Total GWh,167693.52,ROSTOV-1
Reactor Type,Pressurised Water Reactor (or PWR),ROSTOV-2
Model,VVER V-320,ROSTOV-2
Owner,Joint Stock Company 'Concern Rosenergoatom',ROSTOV-2
Operator,Joint Stock Company 'Concern Rosenergoatom',ROSTOV-2
Construction Start,"Sunday, 1 May 1983",ROSTOV-2
First Criticality,"Friday, 22 January 2010",ROSTOV-2
First Grid Connection,"Thursday, 18 March 2010",ROSTOV-2
Commercial Operation,"Friday, 10 December 2010",ROSTOV-2
Capacity Net,950 MWe,ROSTOV-2
Capacity Gross,1000 MWe,ROSTOV-2
Thermal Capacity,3200 MWt,ROSTOV-2
Design Net Capacity,950 MWe,ROSTOV-2
Total GWh,105284.61,ROSTOV-2
Reactor Type,Pressurised Water Reactor (or PWR),ROSTOV-3
Model,VVER V-320,ROSTOV-3
Owner,Joint Stock Company 'Concern Rosenergoatom',ROSTOV-3
Operator,Joint Stock Company 'Concern Rosenergoatom',ROSTOV-3
Construction Start,"Tuesday, 15 September 2009",ROSTOV-3
First Criticality,"Sunday, 7 December 2014",ROSTOV-3
First Grid Connection,"Saturday, 27 December 2014",ROSTOV-3
Commercial Operation,"Thursday, 17 September 2015",ROSTOV-3
Capacity Net,950 MWe,ROSTOV-3
Capacity Gross,1000 MWe,ROSTOV-3
Thermal Capacity,3000 MWt,ROSTOV-3
Design Net Capacity,950 MWe,ROSTOV-3
Total GWh,63792.76,ROSTOV-3
Reactor Type,Pressurised Water Reactor (or PWR),ROSTOV-4
Model,VVER V-320,ROSTOV-4
Owner,Joint Stock Company 'Concern Rosenergoatom',ROSTOV-4
Operator,Joint Stock Company 'Concern Rosenergoatom',ROSTOV-4
Construction Start,"Wednesday, 16 June 2010",ROSTOV-4
First Criticality,"Friday, 29 December 2017",ROSTOV-4
First Grid Connection,"Friday, 2 February 2018",ROSTOV-4
Commercial Operation,"Friday, 28 September 2018",ROSTOV-4
Capacity Net,979 MWe,ROSTOV-4
Capacity Gross,1030 MWe,ROSTOV-4
Thermal Capacity,3000 MWt,ROSTOV-4
Design Net Capacity,950 MWe,ROSTOV-4
Total GWh,44693.69,ROSTOV-4
Reactor Type,Heavy Water Gas-Cooled Reactor (or HWGCR),BOHUNICE%20A1
Model,KS 150,BOHUNICE%20A1
Owner,"Jadrova A Vyradovacia Spolocnost
/Nuclear And Decommissioning Company, Plc./",BOHUNICE%20A1
Operator,"Jadrova A Vyradovacia Spolocnost
/Nuclear And Decommissioning Company, Plc./",BOHUNICE%20A1
Construction Start,"Friday, 1 August 1958",BOHUNICE%20A1
First Criticality,"Tuesday, 24 October 1972",BOHUNICE%20A1
First Grid Connection,"Monday, 25 December 1972",BOHUNICE%20A1
Commercial Operation,"Monday, 25 December 1972",BOHUNICE%20A1
Permanent Shutdown,"Tuesday, 22 February 1977",BOHUNICE%20A1
Capacity Net,93 MWe,BOHUNICE%20A1
Capacity Gross,143 MWe,BOHUNICE%20A1
Thermal Capacity,560 MWt,BOHUNICE%20A1
Design Net Capacity,110 MWe,BOHUNICE%20A1
Total GWh,915.81,BOHUNICE%20A1
Reactor Type,Pressurised Water Reactor (or PWR),BOHUNICE-1
Model,VVER V-230,BOHUNICE-1
Owner,"Jadrova A Vyradovacia Spolocnost
/Nuclear And Decommissioning Company, Plc./",BOHUNICE-1
Operator,"Jadrova A Vyradovacia Spolocnost
/Nuclear And Decommissioning Company, Plc./",BOHUNICE-1
Construction Start,"Monday, 24 April 1972",BOHUNICE-1
First Criticality,"Monday, 27 November 1978",BOHUNICE-1
First Grid Connection,"Sunday, 17 December 1978",BOHUNICE-1
Commercial Operation,"Tuesday, 1 April 1980",BOHUNICE-1
Permanent Shutdown,"Sunday, 31 December 2006",BOHUNICE-1
Capacity Net,408 MWe,BOHUNICE-1
Capacity Gross,440 MWe,BOHUNICE-1
Thermal Capacity,1375 MWt,BOHUNICE-1
Design Net Capacity,408 MWe,BOHUNICE-1
Total GWh,71576.8,BOHUNICE-1
Reactor Type,Pressurised Water Reactor (or PWR),BOHUNICE-2
Model,VVER V-230,BOHUNICE-2
Owner,"Jadrova A Vyradovacia Spolocnost
/Nuclear And Decommissioning Company, Plc./",BOHUNICE-2
Operator,"Jadrova A Vyradovacia Spolocnost
/Nuclear And Decommissioning Company, Plc./",BOHUNICE-2
Construction Start,"Monday, 24 April 1972",BOHUNICE-2
First Criticality,"Saturday, 15 March 1980",BOHUNICE-2
First Grid Connection,"Wednesday, 26 March 1980",BOHUNICE-2
Commercial Operation,"Thursday, 1 January 1981",BOHUNICE-2
Permanent Shutdown,"Wednesday, 31 December 2008",BOHUNICE-2
Capacity Net,408 MWe,BOHUNICE-2
Capacity Gross,440 MWe,BOHUNICE-2
Thermal Capacity,1375 MWt,BOHUNICE-2
Design Net Capacity,408 MWe,BOHUNICE-2
Total GWh,76957.66,BOHUNICE-2
Reactor Type,Pressurised Water Reactor (or PWR),BOHUNICE-3
Model,VVER V-213,BOHUNICE-3
Owner,"Slovenské Elektrárne, A.S.",BOHUNICE-3
Operator,"Slovenské Elektrárne, A.S.",BOHUNICE-3
Construction Start,"Wednesday, 1 December 1976",BOHUNICE-3
First Criticality,"Tuesday, 7 August 1984",BOHUNICE-3
First Grid Connection,"Monday, 20 August 1984",BOHUNICE-3
Commercial Operation,"Thursday, 14 February 1985",BOHUNICE-3
Capacity Net,466 MWe,BOHUNICE-3
Capacity Gross,500 MWe,BOHUNICE-3
Thermal Capacity,1471 MWt,BOHUNICE-3
Design Net Capacity,466 MWe,BOHUNICE-3
Total GWh,119972.99,BOHUNICE-3
Reactor Type,Pressurised Water Reactor (or PWR),BOHUNICE-4
Model,VVER V-213,BOHUNICE-4
Owner,"Slovenské Elektrárne, A.S.",BOHUNICE-4
Operator,"Slovenské Elektrárne, A.S.",BOHUNICE-4
Construction Start,"Wednesday, 1 December 1976",BOHUNICE-4
First Criticality,"Friday, 2 August 1985",BOHUNICE-4
First Grid Connection,"Friday, 9 August 1985",BOHUNICE-4
Commercial Operation,"Wednesday, 18 December 1985",BOHUNICE-4
Capacity Net,466 MWe,BOHUNICE-4
Capacity Gross,500 MWe,BOHUNICE-4
Thermal Capacity,1471 MWt,BOHUNICE-4
Design Net Capacity,466 MWe,BOHUNICE-4
Total GWh,119099.41,BOHUNICE-4
Reactor Type,Pressurised Water Reactor (or PWR),MOCHOVCE-1
Model,VVER V-213,MOCHOVCE-1
Owner,"Slovenské Elektrárne, A.S.",MOCHOVCE-1
Operator,"Slovenské Elektrárne, A.S.",MOCHOVCE-1
Construction Start,"Thursday, 13 October 1983",MOCHOVCE-1
First Criticality,"Tuesday, 9 June 1998",MOCHOVCE-1
First Grid Connection,"Saturday, 4 July 1998",MOCHOVCE-1
Commercial Operation,"Thursday, 29 October 1998",MOCHOVCE-1
Capacity Net,467 MWe,MOCHOVCE-1
Capacity Gross,500 MWe,MOCHOVCE-1
Thermal Capacity,1471 MWt,MOCHOVCE-1
Design Net Capacity,408 MWe,MOCHOVCE-1
Total GWh,81972,MOCHOVCE-1
Reactor Type,Pressurised Water Reactor (or PWR),MOCHOVCE-2
Model,VVER V-213,MOCHOVCE-2
Owner,"Slovenské Elektrárne, A.S.",MOCHOVCE-2
Operator,"Slovenské Elektrárne, A.S.",MOCHOVCE-2
Construction Start,"Thursday, 13 October 1983",MOCHOVCE-2
First Criticality,"Wednesday, 1 December 1999",MOCHOVCE-2
First Grid Connection,"Monday, 20 December 1999",MOCHOVCE-2
Commercial Operation,"Tuesday, 11 April 2000",MOCHOVCE-2
Capacity Net,469 MWe,MOCHOVCE-2
Capacity Gross,500 MWe,MOCHOVCE-2
Thermal Capacity,1471 MWt,MOCHOVCE-2
Design Net Capacity,408 MWe,MOCHOVCE-2
Total GWh,77355.04,MOCHOVCE-2
Reactor Type,Pressurised Water Reactor (or PWR),MOCHOVCE-3
Model,VVER V-213,MOCHOVCE-3
Owner,"Slovenské Elektrárne, A.S.",MOCHOVCE-3
Operator,"Slovenské Elektrárne, A.S.",MOCHOVCE-3
Construction Start,"Tuesday, 27 January 1987",MOCHOVCE-3
First Criticality,"Tuesday, 22 November 2022",MOCHOVCE-3
First Grid Connection,"Tuesday, 31 January 2023",MOCHOVCE-3
Commercial Operation,,MOCHOVCE-3
Capacity Net,440 MWe,MOCHOVCE-3
Capacity Gross,471 MWe,MOCHOVCE-3
Thermal Capacity,1375 MWt,MOCHOVCE-3
Design Net Capacity,440 MWe,MOCHOVCE-3
